Customer_Age,Dependent_count,Education_Level,Marital_Status,Income_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
57,2,0.050617283950617285,0.466820987654321,0.34969135802469137,36,3,0,1,2712.0,1445,1267.0,0.819,4520,79,0.881,0.533
43,4,0.3111111111111111,0.07145061728395062,0.34969135802469137,34,5,3,3,1971.0,979,992.0,1.024,5446,75,0.974,0.497
31,1,0.20030864197530865,0.38796296296296295,0.34969135802469137,22,5,1,5,6662.0,0,6662.0,0.934,3264,83,0.766,0.0
53,3,0.09907407407407408,0.466820987654321,0.15246913580246912,40,4,4,4,6052.0,1720,4332.0,0.683,1476,37,0.423,0.284
58,1,0.043055555555555555,0.466820987654321,0.34969135802469137,48,4,2,2,1438.3,801,637.3,0.595,4223,60,0.579,0.557
49,4,0.043055555555555555,0.38796296296296295,0.34969135802469137,42,5,1,4,7789.0,957,6832.0,0.724,3412,70,0.842,0.123
46,1,0.1449074074074074,0.466820987654321,0.13780864197530865,27,1,3,1,13056.0,1890,11166.0,0.713,14280,102,0.672,0.145
55,4,0.3111111111111111,0.38796296296296295,0.07438271604938272,36,2,2,3,34516.0,2443,32073.0,0.827,8765,105,0.721,0.071
44,4,0.15092592592592594,0.38796296296296295,0.15246913580246912,38,5,3,4,3936.0,2024,1912.0,0.988,5001,66,0.692,0.514
47,3,0.3111111111111111,0.466820987654321,0.34969135802469137,36,4,2,2,1776.0,1519,257.0,0.917,4295,60,0.622,0.855
39,2,0.09907407407407408,0.466820987654321,0.17885802469135803,29,5,3,2,1438.3,722,716.3,0.894,4983,53,1.12,0.502
46,5,0.20030864197530865,0.466820987654321,0.07438271604938272,32,5,2,2,34516.0,1024,33492.0,0.72,2436,71,0.651,0.03
41,2,0.20030864197530865,0.466820987654321,0.07438271604938272,24,5,2,3,9924.0,0,9924.0,0.517,1949,43,0.483,0.0
54,2,0.15092592592592594,0.38796296296296295,0.34969135802469137,47,3,2,3,2341.0,1550,791.0,0.656,3406,57,1.478,0.662
51,2,0.15092592592592594,0.466820987654321,0.34969135802469137,37,1,2,3,7098.0,1829,5269.0,0.557,13139,102,0.789,0.258
34,3,0.3111111111111111,0.466820987654321,0.17885802469135803,36,3,2,1,4549.0,990,3559.0,0.745,13804,123,0.732,0.218
49,4,0.20030864197530865,0.38796296296296295,0.15246913580246912,38,4,3,0,31302.0,1953,29349.0,0.875,1564,35,2.182,0.062
65,1,0.09907407407407408,0.466820987654321,0.34969135802469137,54,3,3,3,2888.0,1134,1754.0,1.479,2489,54,0.742,0.393
44,2,0.3111111111111111,0.38796296296296295,0.07438271604938272,33,4,1,3,13301.0,0,13301.0,1.058,1385,50,0.515,0.0
51,2,0.15092592592592594,0.466820987654321,0.34969135802469137,39,3,1,2,6462.0,2517,3945.0,0.842,4156,77,0.833,0.39
49,1,0.1449074074074074,0.466820987654321,0.34969135802469137,37,2,3,1,15987.0,2065,13922.0,0.705,7395,100,0.562,0.129
