iter	Passed	Remaining
0	5	3450
1	16	5356
2	21	4728
3	27	4392
4	32	4146
5	38	4110
6	43	4021
7	48	3912
8	53	3814
9	58	3729
10	63	3689
11	68	3631
12	74	3652
13	79	3620
14	92	3901
15	97	3856
16	106	3942
17	110	3886
18	116	3860
19	120	3797
20	125	3761
21	131	3744
22	135	3692
23	141	3682
24	153	3819
25	158	3798
26	164	3798
27	169	3763
28	174	3738
29	180	3725
30	185	3699
31	190	3673
32	197	3679
33	216	3923
34	222	3902
35	227	3877
36	232	3844
37	240	3865
38	250	3915
39	254	3877
40	263	3903
41	267	3872
42	277	3913
43	286	3933
44	290	3902
45	297	3900
46	303	3881
47	317	3971
48	322	3944
49	330	3956
50	336	3951
51	344	3957
52	350	3939
53	355	3913
54	374	4042
55	379	4018
56	386	4014
57	391	3987
58	396	3963
59	401	3936
60	411	3964
61	416	3939
62	421	3917
63	425	3891
64	430	3867
65	435	3844
66	439	3820
67	445	3803
68	449	3781
69	454	3762
70	460	3746
71	471	3780
72	476	3760
73	482	3746
74	486	3726
75	494	3725
76	499	3710
77	505	3698
78	512	3700
79	517	3682
80	522	3665
81	527	3645
82	531	3625
83	554	3728
84	561	3722
85	566	3705
86	572	3696
87	577	3680
88	583	3669
89	588	3657
90	599	3678
91	607	3676
92	611	3658
93	616	3640
94	631	3684
95	641	3693
96	646	3679
97	658	3700
98	663	3685
99	668	3670
100	673	3653
101	678	3640
102	683	3625
103	689	3612
104	694	3599
105	699	3583
106	705	3573
107	711	3561
108	715	3547
109	720	3532
110	725	3517
111	730	3502
112	734	3486
113	739	3470
114	745	3459
115	750	3448
116	755	3434
117	762	3432
118	767	3418
119	772	3406
120	777	3391
121	781	3376
122	786	3363
123	791	3349
124	795	3335
125	799	3319
126	813	3342
127	822	3346
128	836	3370
129	841	3359
130	846	3346
131	856	3353
132	863	3351
133	870	3346
134	876	3338
135	885	3340
136	891	3330
137	897	3322
138	903	3315
139	911	3315
140	917	3304
141	922	3292
142	927	3283
143	932	3271
144	938	3260
145	942	3247
146	948	3237
147	952	3225
148	958	3216
149	963	3205
150	968	3195
151	974	3184
152	985	3193
153	989	3182
154	999	3186
155	1009	3190
156	1014	3178
157	1019	3167
158	1024	3156
159	1031	3153
160	1042	3158
161	1047	3150
162	1060	3161
163	1075	3182
164	1080	3170
165	1089	3168
166	1107	3196
167	1112	3184
168	1117	3172
169	1121	3161
170	1126	3150
171	1132	3140
172	1161	3196
173	1166	3184
174	1174	3180
175	1179	3169
176	1184	3158
177	1189	3146
178	1204	3161
179	1209	3152
180	1228	3177
181	1235	3170
182	1242	3163
183	1247	3153
184	1255	3147
185	1259	3135
186	1265	3127
187	1274	3125
188	1280	3115
189	1285	3106
190	1290	3094
191	1295	3084
192	1300	3072
193	1305	3061
194	1310	3051
195	1317	3045
196	1326	3042
197	1331	3031
198	1336	3021
199	1340	3009
200	1345	2999
201	1350	2987
202	1355	2978
203	1361	2970
204	1384	2999
205	1391	2991
206	1396	2981
207	1401	2971
208	1406	2961
209	1410	2949
210	1415	2937
211	1419	2926
212	1425	2918
213	1431	2909
214	1436	2899
215	1441	2889
216	1447	2882
217	1452	2872
218	1460	2868
219	1476	2880
220	1494	2893
221	1499	2883
222	1504	2873
223	1509	2863
224	1515	2856
225	1521	2846
226	1525	2835
227	1529	2824
228	1534	2815
229	1539	2804
230	1544	2795
231	1549	2785
232	1553	2774
233	1561	2768
234	1571	2768
235	1576	2759
236	1581	2749
237	1587	2740
238	1592	2731
239	1600	2726
240	1604	2716
241	1610	2707
242	1614	2697
243	1619	2687
244	1623	2677
245	1628	2667
246	1636	2662
247	1640	2653
248	1646	2645
249	1651	2635
250	1656	2626
251	1661	2616
252	1665	2607
253	1670	2598
254	1675	2589
255	1680	2579
256	1685	2570
257	1690	2561
258	1695	2553
259	1700	2544
260	1706	2536
261	1711	2528
262	1716	2519
263	1724	2514
264	1729	2505
265	1734	2498
266	1740	2490
267	1750	2488
268	1755	2480
269	1760	2471
270	1765	2462
271	1769	2452
272	1774	2444
273	1781	2437
274	1786	2429
275	1792	2421
276	1795	2411
277	1800	2402
278	1804	2393
279	1809	2384
280	1814	2375
281	1818	2366
282	1822	2357
283	1827	2349
284	1834	2342
285	1839	2334
286	1844	2326
287	1849	2318
288	1856	2312
289	1860	2302
290	1865	2295
291	1873	2290
292	1878	2282
293	1883	2274
294	1888	2266
295	1896	2261
296	1900	2252
297	1905	2244
298	1910	2236
299	1916	2229
300	1921	2221
301	1925	2212
302	1931	2205
303	1936	2197
304	1940	2189
305	1945	2180
306	1949	2171
307	1954	2163
308	1959	2155
309	1963	2147
310	1968	2139
311	1973	2131
312	1978	2124
313	1983	2116
314	1989	2109
315	1994	2101
316	1999	2094
317	2004	2086
318	2010	2079
319	2017	2074
320	2030	2074
321	2035	2066
322	2041	2060
323	2044	2050
324	2048	2042
325	2052	2034
326	2056	2025
327	2060	2016
328	2065	2008
329	2068	1999
330	2073	1991
331	2077	1983
332	2081	1975
333	2085	1966
334	2089	1958
335	2094	1950
336	2098	1942
337	2102	1934
338	2106	1925
339	2110	1917
340	2113	1909
341	2117	1901
342	2121	1892
343	2125	1884
344	2129	1876
345	2134	1868
346	2142	1864
347	2146	1856
348	2151	1849
349	2155	1841
350	2159	1833
351	2164	1826
352	2168	1818
353	2171	1809
354	2176	1802
355	2181	1795
356	2186	1788
357	2190	1780
358	2194	1772
359	2199	1765
360	2202	1757
361	2219	1759
362	2223	1752
363	2227	1744
364	2232	1737
365	2236	1729
366	2240	1721
367	2244	1713
368	2248	1706
369	2252	1698
370	2256	1690
371	2260	1683
372	2264	1675
373	2268	1668
374	2272	1660
375	2275	1652
376	2279	1644
377	2283	1637
378	2287	1629
379	2291	1622
380	2296	1615
381	2300	1607
382	2304	1600
383	2308	1592
384	2312	1585
385	2316	1578
386	2320	1570
387	2324	1563
388	2328	1556
389	2332	1548
390	2336	1541
391	2339	1533
392	2344	1527
393	2348	1519
394	2352	1512
395	2356	1505
396	2360	1498
397	2365	1491
398	2370	1485
399	2377	1479
400	2382	1473
401	2385	1465
402	2388	1458
403	2393	1451
404	2397	1444
405	2401	1437
