Customer_Age,Dependent_count,Education_Level,Marital_Status,Income_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
53,3,0.1449074074074074,0.466820987654321,0.13780864197530865,42,2,5,1,1438.3,0,1438.3,0.895,4722,81,0.841,0.0
44,4,0.20030864197530865,0.07376543209876543,0.34969135802469137,39,5,1,4,9235.0,1796,7439.0,0.958,1739,42,0.448,0.194
43,1,0.20030864197530865,0.38796296296296295,0.13780864197530865,31,5,3,2,2834.0,1720,1114.0,0.62,4581,70,0.591,0.607
41,4,0.15092592592592594,0.466820987654321,0.15246913580246912,31,5,2,2,34516.0,1433,33083.0,0.758,2589,57,0.676,0.042
50,4,0.20030864197530865,0.38796296296296295,0.34969135802469137,42,2,1,2,1460.0,0,1460.0,0.682,4265,63,0.615,0.0
38,1,0.20030864197530865,0.38796296296296295,0.07438271604938272,30,5,3,3,10874.0,2415,8459.0,0.933,4619,59,0.372,0.222
39,5,0.3111111111111111,0.38796296296296295,0.34969135802469137,33,5,2,2,1438.3,668,770.3,0.931,5205,78,0.773,0.464
51,3,0.3111111111111111,0.466820987654321,0.07438271604938272,42,2,1,3,7932.0,2140,5792.0,0.554,4024,92,0.614,0.27
38,2,0.20030864197530865,0.466820987654321,0.17885802469135803,27,3,2,3,1776.0,1586,190.0,0.798,4350,71,0.868,0.893
43,3,0.1449074074074074,0.466820987654321,0.34969135802469137,32,6,3,3,1897.0,0,1897.0,0.645,2866,47,0.469,0.0
52,1,0.3111111111111111,0.466820987654321,0.34969135802469137,42,4,2,3,2012.0,1230,782.0,0.668,3822,68,0.659,0.611
46,2,0.20030864197530865,0.07376543209876543,0.07438271604938272,34,3,2,4,3659.0,1381,2278.0,0.669,16252,112,0.623,0.377
40,4,0.20030864197530865,0.07145061728395062,0.17885802469135803,32,1,2,3,7316.0,1335,5981.0,0.563,1849,50,0.471,0.182
48,4,0.3111111111111111,0.38796296296296295,0.34969135802469137,35,6,3,2,2005.0,1143,862.0,0.824,4311,70,0.591,0.57
48,3,0.050617283950617285,0.07376543209876543,0.34969135802469137,36,5,3,1,9943.0,2138,7805.0,0.949,8325,54,1.0,0.215
44,4,0.15092592592592594,0.466820987654321,0.17885802469135803,31,4,3,5,1691.0,1327,364.0,0.774,2345,33,0.435,0.785
38,1,0.1449074074074074,0.466820987654321,0.10679012345679012,36,3,3,1,12621.0,912,11709.0,0.64,4945,78,0.56,0.072
47,2,0.3111111111111111,0.38796296296296295,0.17885802469135803,35,1,6,3,5791.0,1957,3834.0,0.654,7823,93,0.722,0.338
47,2,0.20030864197530865,0.466820987654321,0.13780864197530865,39,1,2,2,9389.0,727,8662.0,0.533,3415,84,0.556,0.077
38,1,0.050617283950617285,0.38796296296296295,0.34969135802469137,26,4,1,3,2652.0,2496,156.0,0.561,3691,58,1.071,0.941
45,3,0.3111111111111111,0.38796296296296295,0.34969135802469137,33,6,2,3,2016.0,972,1044.0,0.685,4535,82,0.745,0.482
43,3,0.20030864197530865,0.466820987654321,0.13780864197530865,36,3,3,1,9560.0,0,9560.0,0.802,4601,66,0.571,0.0
43,1,0.20030864197530865,0.466820987654321,0.13780864197530865,23,4,3,2,7189.0,1550,5639.0,0.538,1935,52,0.368,0.216
54,1,0.20030864197530865,0.466820987654321,0.07438271604938272,42,5,3,3,3251.0,1919,1332.0,0.56,1406,31,0.24,0.59
38,3,0.3111111111111111,0.07376543209876543,0.10679012345679012,33,6,2,3,29638.0,857,28781.0,0.481,3429,78,0.696,0.029
37,1,0.3111111111111111,0.38796296296296295,0.15246913580246912,24,4,4,4,34516.0,934,33582.0,0.681,1768,52,0.576,0.027
41,3,0.3111111111111111,0.38796296296296295,0.17885802469135803,31,4,3,2,5655.0,1154,4501.0,0.702,2189,51,0.7,0.204
50,1,0.1449074074074074,0.38796296296296295,0.13780864197530865,30,1,3,2,14217.0,1816,12401.0,0.978,15554,99,0.678,0.128
42,1,0.15092592592592594,0.466820987654321,0.34969135802469137,37,3,3,0,1438.3,0,1438.3,0.72,4154,78,0.814,0.0
62,0,0.050617283950617285,0.07376543209876543,0.13780864197530865,46,4,5,6,28229.0,287,27942.0,0.594,2281,45,0.552,0.01
48,2,0.3111111111111111,0.38796296296296295,0.10679012345679012,29,6,1,2,9554.0,2337,7217.0,0.79,4049,71,0.69,0.245
47,3,0.1449074074074074,0.466820987654321,0.34969135802469137,27,5,3,4,14335.0,938,13397.0,0.445,3610,75,0.531,0.065
44,1,0.15092592592592594,0.466820987654321,0.34969135802469137,38,5,2,4,3242.0,799,2443.0,0.459,1424,37,0.028,0.246
45,5,0.1449074074074074,0.07145061728395062,0.34969135802469137,36,1,2,3,2699.0,1583,1116.0,0.648,4071,75,0.829,0.587
45,3,0.09907407407407408,0.466820987654321,0.34969135802469137,37,4,3,1,4602.0,1517,3085.0,1.292,3520,66,1.0,0.33
50,3,0.3111111111111111,0.466820987654321,0.34969135802469137,38,6,3,2,3026.0,1888,1138.0,0.762,3687,58,0.812,0.624
33,2,0.3111111111111111,0.466820987654321,0.15246913580246912,28,4,2,2,22399.0,1431,20968.0,1.019,2390,62,0.722,0.064
42,4,0.20030864197530865,0.466820987654321,0.13780864197530865,38,2,2,2,13426.0,0,13426.0,0.717,4674,66,0.886,0.0
40,1,0.050617283950617285,0.466820987654321,0.13780864197530865,36,6,3,4,18386.0,890,17496.0,0.361,1698,43,0.483,0.048
51,2,0.15092592592592594,0.07145061728395062,0.17885802469135803,44,4,6,4,5489.0,1665,3824.0,0.742,4010,75,0.786,0.303
50,2,0.09907407407407408,0.07376543209876543,0.34969135802469137,36,3,3,0,1491.0,0,1491.0,0.876,1058,34,0.889,0.0
42,2,0.3111111111111111,0.38796296296296295,0.13780864197530865,31,3,2,1,5169.0,2296,2873.0,0.773,4656,88,0.796,0.444
47,3,0.1449074074074074,0.38796296296296295,0.10679012345679012,35,1,4,3,2446.0,1899,547.0,0.714,5347,87,0.74,0.776
40,2,0.15092592592592594,0.38796296296296295,0.17885802469135803,29,1,3,3,2351.0,1337,1014.0,0.613,5115,84,0.787,0.569
53,1,0.3111111111111111,0.38796296296296295,0.34969135802469137,36,3,2,4,4287.0,0,4287.0,0.294,1635,41,0.242,0.0
41,2,0.20030864197530865,0.07376543209876543,0.15246913580246912,36,6,2,2,1636.0,986,650.0,0.833,4695,73,0.872,0.603
49,2,0.1449074074074074,0.466820987654321,0.34969135802469137,34,6,2,4,5242.0,1465,3777.0,1.025,4098,68,0.789,0.279
49,4,0.050617283950617285,0.38796296296296295,0.10679012345679012,44,6,3,2,18206.0,1586,16620.0,0.921,1439,48,1.0,0.087
47,2,0.3111111111111111,0.466820987654321,0.17885802469135803,28,5,2,2,2035.0,1620,415.0,0.838,4130,74,0.721,0.796
44,4,0.15092592592592594,0.466820987654321,0.07438271604938272,31,4,3,4,34516.0,1197,33319.0,0.669,1594,43,1.15,0.035
42,3,0.09907407407407408,0.07145061728395062,0.07438271604938272,36,3,2,1,21670.0,2183,19487.0,0.995,4121,81,0.761,0.101
48,4,0.043055555555555555,0.07145061728395062,0.15246913580246912,40,3,2,2,3429.0,1268,2161.0,0.703,4422,64,1.783,0.37
63,0,0.15092592592592594,0.466820987654321,0.34969135802469137,49,5,3,0,3558.0,2318,1240.0,1.265,1631,31,0.824,0.651
36,3,0.15092592592592594,0.466820987654321,0.07438271604938272,24,6,3,2,24577.0,0,24577.0,0.75,1897,39,0.393,0.0
38,2,0.3111111111111111,0.466820987654321,0.34969135802469137,18,5,3,3,1686.0,1206,480.0,0.767,4891,68,0.511,0.715
45,4,0.20030864197530865,0.466820987654321,0.15246913580246912,35,5,2,3,9852.0,2277,7575.0,0.831,3813,71,0.614,0.231
49,3,0.3111111111111111,0.38796296296296295,0.17885802469135803,36,2,2,2,23981.0,1408,22573.0,0.844,14455,96,0.846,0.059
52,1,0.09907407407407408,0.466820987654321,0.15246913580246912,48,4,3,3,2066.0,1601,465.0,0.742,1578,41,0.414,0.775
53,3,0.3111111111111111,0.07145061728395062,0.17885802469135803,48,2,2,2,14627.0,1997,12630.0,0.718,7766,82,0.745,0.137
53,2,0.20030864197530865,0.38796296296296295,0.34969135802469137,36,2,2,3,1874.0,994,880.0,0.713,4194,78,0.857,0.53
60,1,0.3111111111111111,0.38796296296296295,0.17885802469135803,48,3,1,3,1438.3,750,688.3,0.771,4542,88,0.833,0.521
34,2,0.3111111111111111,0.38796296296296295,0.34969135802469137,36,1,2,3,1666.0,0,1666.0,0.713,2312,35,0.25,0.0
46,1,0.1449074074074074,0.07145061728395062,0.10679012345679012,28,5,2,6,2069.0,0,2069.0,0.656,2754,55,0.667,0.0
31,1,0.3111111111111111,0.38796296296296295,0.34969135802469137,13,1,1,3,4829.0,0,4829.0,0.836,8286,65,0.857,0.0
42,4,0.15092592592592594,0.466820987654321,0.17885802469135803,36,2,3,5,1606.0,0,1606.0,0.87,2628,41,0.64,0.0
54,1,0.3111111111111111,0.38796296296296295,0.34969135802469137,49,3,2,2,2930.0,2266,664.0,0.734,4752,72,1.323,0.773
47,1,0.1449074074074074,0.38796296296296295,0.34969135802469137,32,6,2,2,1636.0,1135,501.0,0.754,5056,85,0.809,0.694
39,2,0.1449074074074074,0.38796296296296295,0.13780864197530865,36,5,3,3,13961.0,1299,12662.0,0.842,783,20,0.667,0.093
51,2,0.1449074074074074,0.466820987654321,0.17885802469135803,36,6,3,3,3359.0,873,2486.0,0.785,4572,81,0.688,0.26
26,1,0.09907407407407408,0.07376543209876543,0.17885802469135803,21,3,3,2,1438.3,0,1438.3,0.745,2660,89,0.712,0.0
38,2,0.20030864197530865,0.466820987654321,0.34969135802469137,27,4,1,2,1830.0,0,1830.0,0.736,1741,43,0.654,0.0
37,3,0.20030864197530865,0.38796296296296295,0.07438271604938272,36,3,2,2,7361.0,0,7361.0,0.59,2109,44,0.571,0.0
38,3,0.15092592592592594,0.466820987654321,0.17885802469135803,36,3,3,2,5576.0,0,5576.0,0.686,4322,85,0.809,0.0
